ID,Name,maxNum,category,maxRepositoryNum
11021,Strength-Knot Crystal Tear,1,Convergence CrystalTears,1
11022,Dexterity-Knot Crystal Tear,1,Convergence CrystalTears,1
11023,Intelligence-Knot Crystal Tear,1,Convergence CrystalTears,1
11024,Faith-Knot Crystal Tear,1,Convergence CrystalTears,1
11033,Arcane-Knot Crystal Tear,1,Convergence CrystalTears,1
11034,Knight's Crystal Tear,1,Convergence CrystalTears,1
11035,Battlemage's Crystal Tear,1,Convergence CrystalTears,1
11036,Templar's Crystal Tear,1,Convergence CrystalTears,1
11037,Barbarian's Crystal Tear,1,Convergence CrystalTears,1
11038,Assassin's Crystal Tear,1,Convergence CrystalTears,1
11039,Inquisitor's Crystal Tear,1,Convergence CrystalTears,1
11040,Rogue's Crystal Tear,1,Convergence CrystalTears,1
11041,Zealot's Crystal Tear,1,Convergence CrystalTears,1
11042,Witch's Crystal Tear,1,Convergence CrystalTears,1
11043,Cultist's Crystal Tear,1,Convergence CrystalTears,1
11032,Stone-Shrouding Cracked Tear,1,Convergence CrystalTears,1
11028,Flame-Shrouding Cracked Tear,1,Convergence CrystalTears,1
11029,Magic-Shrouding Cracked Tear,1,Convergence CrystalTears,1
11030,Lightning-Shrouding Cracked Tear,1,Convergence CrystalTears,1
11031,Holy-Shrouding Cracked Tear,1,Convergence CrystalTears,1
11016,Ruptured Crystal Tear,1,Convergence CrystalTears,1
11017,Ruptured Crystal Tear,1,Convergence CrystalTears,1
2011040,Oil-Soaked Tear,1,Convergence CrystalTears,1
2011050,Bloodsucking Cracked Tear,1,Convergence CrystalTears,1
2011060,Glovewort Crystal Tear,1,Convergence CrystalTears,1
11014,Spiked Cracked Tear,1,Convergence CrystalTears,1
11013,Thorny Cracked Tear,1,Convergence CrystalTears,1
11026,Stonebarb Cracked Tear,1,Convergence CrystalTears,1
11050,Waterblade Cracked Tear,1,Convergence CrystalTears,1
11051,Stonetalon Cracked Tear,1,Convergence CrystalTears,1
11052,Windbarb Cracked Tear,1,Convergence CrystalTears,1
11053,Shadowblade Cracked Tear,1,Convergence CrystalTears,1
11054,Stoneblade Cracked Tear,1,Convergence CrystalTears,1
11055,Stonehoof Cracked Tear,1,Convergence CrystalTears,1
11003,Crimson Crystal Tear,1,Convergence CrystalTears,1
11000,Crimsonspill Crystal Tear,1,Convergence CrystalTears,1
11009,Crimsonburst Crystal Tear,1,Convergence CrystalTears,1
11007,Crimson Bubbletear,1,Convergence CrystalTears,1
11005,Cerulean Crystal Tear,1,Convergence CrystalTears,1
11057,Ceruleanspill Crystal Tear,1,Convergence CrystalTears,1
11056,Ceruleanburst Crystal Tear,1,Convergence CrystalTears,1
11025,Cerulean Hidden Tear,1,Convergence CrystalTears,1
11001,Greenspill Crystal Tear,1,Convergence CrystalTears,1
11010,Greenburst Crystal Tear,1,Convergence CrystalTears,1
2011000,Viridian Hidden Tear,1,Convergence CrystalTears,1
2011010,Crimsonburst Dried Tear,1,Convergence CrystalTears,1
2011020,Crimson-Sapping Cracked Tear,1,Convergence CrystalTears,1
2011030,Cerulean-Sapping Cracked Tear,1,Convergence CrystalTears,1
11011,Opaline Hardtear,1,Convergence CrystalTears,1
11020,Crimsonwhorl Bubbletear,1,Convergence CrystalTears,1
11008,Opaline Bubbletear,1,Convergence CrystalTears,1
11018,Leaden Hardtear,1,Convergence CrystalTears,1
11015,Windy Crystal Tear,1,Convergence CrystalTears,1
11012,Winged Crystal Tear,1,Convergence CrystalTears,1
11019,Twiggy Cracked Tear,1,Convergence CrystalTears,1
11027,Purifying Crystal Tear,1,Convergence CrystalTears,1
